Filename,Corpus,<# untagged words>,<# no-rules words>,<# tags>,<# words>,<# tokens>
Chicago Radisson Blu Aqua (330)_3127,HotelReviews,100.0,0.0,104,102,217
NY The Iroquois (300)_4524,HotelReviews,100.0,0.0,579,569,1205
Chicago Radisson Blu Aqua (330)_3296,HotelReviews,100.0,0.0,292,291,615
NY TRYP by Windham Times Square (200)_5091,HotelReviews,100.0,0.0,76,75,165
NY The Surrey (300)_5010,HotelReviews,100.0,0.0,120,120,255
Chicago Radisson Blu Aqua (330)_3082,HotelReviews,100.0,0.0,335,328,716
Chicago - La Quinta Inn & Suites (235)_3356,HotelReviews,100.0,0.0,135,135,282
NY The Iroquois (300)_4485,HotelReviews,100.0,0.0,256,256,538
NY The Surrey (300)_4904,HotelReviews,100.0,0.0,67,67,143
Chicago Radisson Blu Aqua (330)_3304,HotelReviews,100.0,0.0,291,285,614
NY The Iroquois (300)_4490,HotelReviews,100.0,0.0,65,64,145
SF  The Chancellor (303)_3669,HotelReviews,100.0,0.0,54,54,119
SF Renaissance Stanford Court (306)_4199,HotelReviews,100.0,0.0,174,171,367
Chicago Radisson Blu Aqua (330)_3195,HotelReviews,100.0,0.0,110,109,233
Madison Concourse Hotel (337)_2463,HotelReviews,100.0,0.0,48,48,101
NY The Surrey (300)_4842,HotelReviews,100.0,0.0,87,85,185
Chicago Radisson Blu Aqua (330)_3276,HotelReviews,100.0,0.0,18,18,39
Madison HotelRED (69)_2619,HotelReviews,100.0,0.0,174,172,374
NY The Iroquois (300)_4540,HotelReviews,100.0,0.0,46,46,102
SF Renaissance Stanford Court (306)_4295,HotelReviews,100.0,0.0,217,215,453
Madison HotelRED (69)_2673,HotelReviews,100.0,0.0,237,233,500
NY The Iroquois (300)_4744,HotelReviews,100.0,0.0,130,130,280
Madison DoubleTree (255)_2176,HotelReviews,100.0,0.0,79,79,170
Chicago - La Quinta Inn & Suites (235)_3517,HotelReviews,100.0,0.0,168,167,358
Madison Concourse Hotel (337)_2452,HotelReviews,100.0,0.0,111,110,239
NY The Surrey (300)_5027,HotelReviews,100.0,0.0,237,236,504
Chicago Radisson Blu Aqua (330)_3221,HotelReviews,100.0,0.0,63,62,137
SF Renaissance Stanford Court (306)_4415,HotelReviews,100.0,0.0,174,171,367
NY The Iroquois (300)_4720,HotelReviews,100.0,0.0,309,309,639
Chicago - La Quinta Inn & Suites (235)_3442,HotelReviews,100.0,0.0,164,163,348
NY TRYP by Windham Times Square (200)_5145,HotelReviews,100.0,0.0,135,132,287
Chicago - La Quinta Inn & Suites (235)_3432,HotelReviews,100.0,0.0,30,30,65
Madison Concourse Hotel (337)_2468,HotelReviews,100.0,0.0,113,113,239
Madison DoubleTree (255)_2054,HotelReviews,100.0,0.0,61,61,135
Chicago Radisson Blu Aqua (330)_3110,HotelReviews,100.0,0.0,202,200,426
Chicago The Talbott (309)_2876,HotelReviews,100.0,0.0,76,76,162
Chicago - La Quinta Inn & Suites (235)_3375,HotelReviews,100.0,0.0,64,64,141
SF  The Chancellor (303)_3636,HotelReviews,100.0,0.0,76,76,157
SF  The Chancellor (303)_3759,HotelReviews,100.0,0.0,86,85,182
Madison DoubleTree (255)_2125,HotelReviews,100.0,0.0,39,39,82
SF Renaissance Stanford Court (306)_4382,HotelReviews,100.0,0.0,68,67,142
NY The Surrey (300)_4869,HotelReviews,100.0,0.0,43,43,94
Chicago Radisson Blu Aqua (330)_3229,HotelReviews,100.0,0.0,54,54,112
SF Renaissance Stanford Court (306)_4316,HotelReviews,100.0,0.0,143,142,300
NY The Iroquois (300)_4640,HotelReviews,100.0,0.0,49,49,106
SF The Presidio Travelodge (304)_4012,HotelReviews,100.0,0.0,132,131,284
SF  The Chancellor (303)_3800,HotelReviews,100.0,0.0,188,185,395
Madison HotelRED (69)_2661,HotelReviews,100.0,0.0,32,32,71
NY The Surrey (300)_4955,HotelReviews,100.0,0.0,113,113,237
SF The Presidio Travelodge (304)_3885,HotelReviews,100.0,0.0,27,27,56
Chicago The Talbott (309)_2677,HotelReviews,100.0,0.0,145,145,308
Chicago Radisson Blu Aqua (330)_3182,HotelReviews,100.0,0.0,189,189,405
Chicago Radisson Blu Aqua (330)_3184,HotelReviews,100.0,0.0,41,40,86
Madison Concourse Hotel (337)_2399,HotelReviews,100.0,0.0,153,144,323
SF Renaissance Stanford Court (306)_4270,HotelReviews,100.0,0.0,44,44,93
Madison Concourse Hotel (337)_2515,HotelReviews,100.0,0.0,181,179,385
NY The Iroquois (300)_4467,HotelReviews,100.0,0.0,141,139,301
NY TRYP by Windham Times Square (200)_5222,HotelReviews,100.0,0.0,39,39,86
NY The Iroquois (300)_4627,HotelReviews,100.0,0.0,129,128,269
SF The Presidio Travelodge (304)_4151,HotelReviews,100.0,0.0,54,54,115
Chicago The Talbott (309)_2706,HotelReviews,100.0,0.0,41,41,85
SF Renaissance Stanford Court (306)_4453,HotelReviews,100.0,0.0,268,265,570
Chicago Radisson Blu Aqua (330)_3137,HotelReviews,100.0,0.0,190,190,399
SF Renaissance Stanford Court (306)_4214,HotelReviews,100.0,0.0,96,96,199
NY TRYP by Windham Times Square (200)_5067,HotelReviews,100.0,0.0,253,252,538
Madison Concourse Hotel (337)_2358,HotelReviews,100.0,0.0,132,131,276
SF  The Chancellor (303)_3849,HotelReviews,100.0,0.0,195,191,408
Chicago Radisson Blu Aqua (330)_3252,HotelReviews,100.0,0.0,218,214,469
SF Renaissance Stanford Court (306)_4209,HotelReviews,100.0,0.0,284,281,598
SF  The Chancellor (303)_3704,HotelReviews,100.0,0.0,52,51,110
Chicago Radisson Blu Aqua (330)_3020,HotelReviews,100.0,0.0,126,123,272
Madison HotelRED (69)_2625,HotelReviews,100.0,0.0,57,57,123
Chicago Radisson Blu Aqua (330)_3146,HotelReviews,100.0,0.0,188,183,387
Madison DoubleTree (255)_2226,HotelReviews,100.0,0.0,117,116,247
NY The Surrey (300)_4867,HotelReviews,100.0,0.0,214,211,449
SF The Presidio Travelodge (304)_4098,HotelReviews,100.0,0.0,52,52,115
SF  The Chancellor (303)_3560,HotelReviews,100.0,0.0,127,127,273
Madison DoubleTree (255)_2037,HotelReviews,100.0,0.0,372,371,771
NY TRYP by Windham Times Square (200)_5157,HotelReviews,100.0,0.0,43,43,93
NY The Surrey (300)_5028,HotelReviews,100.0,0.0,224,224,469
NY The Surrey (300)_4983,HotelReviews,100.0,0.0,193,193,406
SF  The Chancellor (303)_3646,HotelReviews,100.0,0.0,126,122,270
SF  The Chancellor (303)_3675,HotelReviews,100.0,0.0,73,73,156
SF The Presidio Travelodge (304)_3966,HotelReviews,100.0,0.0,64,63,129
Madison Concourse Hotel (337)_2321,HotelReviews,100.0,0.0,413,413,883
Chicago Radisson Blu Aqua (330)_3283,HotelReviews,100.0,0.0,94,94,198
Madison DoubleTree (255)_2133,HotelReviews,100.0,0.0,103,101,216
SF Renaissance Stanford Court (306)_4222,HotelReviews,100.0,0.0,114,112,234
